income_annum,cibil_score,loan_amount,loan_term,loan_status
433767,522,368232,12,0
744209,372,206104,60,0
1011851,741,79984,12,1
763389,683,161487,84,0
556840,355,86321,36,0
773125,352,95033,84,0
1170910,845,160169,120,1
804492,391,114429,60,0
1063185,550,278870,12,0
338102,584,116912,84,0
833556,676,454772,12,0
1081474,790,88067,60,1
868550,853,348185,60,0
644894,487,237604,120,0
425657,328,162356,120,0
493075,429,268008,120,0
1140530,623,310298,24,0
407512,728,281055,12,1
1072838,846,412246,36,0
904365,572,258786,60,0
655612,675,53631,60,0
619187,611,83787,24,0
992517,670,427539,120,0
1025948,631,154797,36,0
338304,694,128815,84,0
631593,423,421931,12,0
1043974,348,360748,36,0
923587,527,275049,36,0
578167,482,307437,12,0
674710,482,496636,36,0
676965,891,240868,24,1
1108350,440,306911,60,0
450262,453,493057,120,0
539931,515,206498,84,0
452906,403,160641,24,0
1062002,479,306353,60,0
738452,898,100200,36,1
514835,476,409687,12,0
308308,796,496960,84,0
642786,530,210381,12,0
505041,664,415898,24,0
1097606,869,420965,84,0
950419,406,251548,120,0
1106790,515,449194,60,0
559214,852,296353,120,1
538067,359,215268,24,0
653151,419,453082,36,0
1143523,694,188808,60,0
688043,689,202889,120,0
902875,541,414448,120,0
853663,544,306553,24,0
1111721,452,216923,12,0
1091971,612,69169,12,0
317955,662,367563,60,0
471890,695,306677,120,0
616837,823,289423,36,1
987409,796,198087,12,1
1189465,781,77044,12,1
780754,374,422494,60,0
688215,386,317039,12,0
716880,310,144018,60,0
410687,871,383175,36,0
865894,552,117203,120,0
746438,617,463093,12,0
1109760,629,140373,60,0
417796,474,243783,24,0
651279,439,171999,84,0
361813,634,293306,60,0
931347,595,288976,60,0
875581,698,78671,12,0
315708,509,357257,12,0
907086,614,103551,84,0
384654,649,208280,12,0
339353,623,319565,60,0
987995,655,218757,12,0
656600,726,288511,120,1
581974,560,137468,12,0
930271,793,386664,84,0
382745,635,371909,12,0
514532,826,350931,60,0
1187121,383,322670,84,0
410268,807,480596,12,0
683934,606,468267,12,0
382844,744,488469,12,0
816771,490,95838,36,0
718400,543,175703,120,0
422402,652,80447,120,0
349115,459,98355,84,0
433272,563,85585,24,0
419180,713,356094,60,0
1198320,747,229830,36,1
940053,455,475807,36,0
1129957,427,272317,60,0
756551,849,226048,24,1
460775,709,225006,120,1
844447,655,182723,60,0
455576,682,367650,60,0
473416,665,394761,84,0
738661,458,265002,60,0
508261,444,405824,36,0
1183671,727,115428,24,1
617824,623,126329,60,0
791072,560,471486,60,0
1014998,565,474127,12,0
778007,451,288404,36,0
637889,483,116707,12,0
619030,347,247096,24,0
350612,383,196150,60,0
491475,439,232503,120,0
584821,499,107022,120,0
1058574,888,481020,120,0
708923,690,188299,12,0
1100921,875,404717,84,0
770587,585,148540,120,0
927234,577,448872,12,0
1143890,588,84964,60,0
308155,775,312351,120,0
598356,445,212624,36,0
1097079,316,240546,24,0
392193,432,466468,60,0
523992,655,197977,12,0
332097,868,477387,12,0
648951,588,470814,120,0
947972,389,420321,60,0
379459,523,437732,60,0
1087201,659,336233,24,0
1126196,784,352929,36,0
507869,339,319054,60,0
500244,327,429810,12,0
1051102,324,239648,84,0
813758,328,61871,120,0
785008,729,217807,24,1
720571,421,126256,24,0
1177284,338,312307,60,0
419176,880,271097,84,1
1105497,556,141396,120,0
425917,633,320040,12,0
590160,387,248436,24,0
971155,432,322369,24,0
715192,478,212982,84,0
433883,646,448465,60,0
968234,690,60699,36,0
1082038,668,273131,36,0
495004,871,391895,12,0
755102,522,491546,84,0
978843,805,401296,60,0
842335,338,155111,36,0
485340,619,464891,12,0
702690,740,296242,36,1
365953,339,359001,84,0
415294,641,252380,120,0
492714,389,119122,12,0
519930,806,105147,24,1
1067214,670,278981,84,0
628184,724,247621,120,1
797562,608,231360,12,0
957409,723,152747,120,1
775853,577,394710,60,0
944167,629,325813,84,0
1189765,345,314167,60,0
338765,600,67069,12,0
444528,748,92821,60,1
1162312,825,320143,36,0
539629,685,67772,60,0
435230,829,73284,36,1
1162645,579,343894,36,0
773254,825,385441,24,0
344238,334,240135,60,0
1104449,597,112812,60,0
945263,584,220963,120,0
890978,757,106273,12,1
835626,870,162990,84,1
514176,765,151376,24,1
1025256,521,467127,36,0
938873,622,173257,84,0
460196,486,271972,84,0
513945,429,186998,84,0
389780,332,70567,60,0
998646,412,302791,84,0
530229,617,410867,36,0
475203,342,175354,84,0
437848,530,310337,60,0
569114,819,442493,24,0
967521,336,177896,84,0
617537,425,277966,60,0
361629,401,425319,36,0
378781,643,172811,12,0
1178338,774,124069,60,1
694366,696,334564,120,0
1076665,618,471818,120,0
943162,826,191877,60,1
817923,326,126865,12,0
534677,677,158777,84,0
839773,535,195016,24,0
409556,322,252903,36,0
973744,617,302164,84,0
1160395,666,281390,120,0
457504,883,184153,36,1
942612,584,169246,12,0
848248,852,385589,24,0
608987,331,201175,84,0
1194751,556,357747,36,0
574907,852,468495,36,0
332217,826,353568,36,0
348984,542,476390,36,0
948531,807,101924,120,1
864685,333,290069,36,0
366234,754,237921,12,1
584806,709,217450,12,1
963165,845,349631,60,0
513920,887,259717,120,1
436330,767,349058,84,0
616076,586,480267,120,0
816588,815,262781,120,1
1106741,320,337266,12,0
742905,749,227404,84,1
331024,388,232268,60,0
1091267,866,411278,12,0
1174371,648,92668,24,0
886165,406,181234,84,0
428391,847,447653,120,0
836226,622,142601,12,0
599888,891,457191,24,0
1180729,617,450195,36,0
565517,753,304311,120,0
739430,584,252043,60,0
749395,436,56548,120,0
573109,438,224668,36,0
953983,541,154195,24,0
814723,313,191330,84,0
835822,410,318615,36,0
738974,366,286386,120,0
1033429,790,92913,24,1
912210,574,96851,36,0
614877,394,424562,60,0
386672,458,371497,12,0
370390,607,203741,24,0
998002,563,267029,36,0
457164,652,89071,36,0
1158158,372,454221,84,0
864242,885,412644,120,0
1183439,334,127984,120,0
518969,535,449657,84,0
709995,711,65997,120,1
483734,645,104624,24,0
1122352,530,85643,24,0
966326,796,484995,24,0
1120260,333,164099,84,0
752366,513,254456,84,0
338467,306,283782,60,0
1055073,611,398413,60,0
601648,303,95379,36,0
1050201,749,154131,36,1
563160,853,245804,24,1
1197059,430,275469,24,0
1031912,611,444583,120,0
715515,701,440103,60,0
1027270,464,246501,84,0
1169474,725,350858,84,0
612066,464,69675,24,0
406530,338,190180,24,0
552764,676,103352,84,0
839439,354,433381,60,0
907274,337,467104,12,0
781680,581,91800,84,0
957162,641,341126,36,0
830583,679,141878,84,0
1042452,677,62323,36,0
1028913,516,436446,84,0
556508,491,439113,36,0
564512,407,187478,60,0
625352,340,195788,24,0
871542,626,174982,36,0
924674,339,258432,24,0
518126,617,255244,60,0
615826,505,416008,60,0
1196048,534,437009,84,0
421958,380,171863,84,0
826981,874,169503,60,1
431373,887,73429,24,1
787879,769,216703,84,1
428778,545,103072,12,0
671369,594,285128,120,0
571836,693,159834,36,0
309337,814,296627,120,1
1105889,425,264432,12,0
766882,658,213856,12,0
679989,388,131929,84,0
987281,600,187328,24,0
1194498,558,281513,84,0
1080722,338,451143,36,0
850929,662,441099,12,0
1138656,465,59596,24,0
520156,469,238938,84,0
389930,696,321038,12,0
537549,777,204363,12,1
533841,742,186614,84,1
917296,523,147661,84,0
923094,628,113646,120,0
1066577,811,214685,120,1
721909,812,359199,120,0
325939,802,301459,24,0
787462,572,427869,36,0
1166651,600,68313,36,0
766872,362,282041,120,0
952664,588,393715,36,0
1018315,494,278071,120,0
965220,313,338345,60,0
1131538,602,57531,84,0
487628,573,122930,36,0
891723,406,168516,24,0
1130496,822,283483,36,1
1005660,673,82371,36,0
407450,418,193401,120,0
1073290,678,215140,120,0
375766,878,479667,120,0
424123,328,168947,120,0
1024226,617,422528,60,0
483062,648,185870,84,0
678496,725,402025,60,0
573255,660,381054,36,0
1098615,775,427844,12,0
422409,633,169735,12,0
711927,316,61138,84,0
911523,690,120017,24,0
684681,377,320269,120,0
621184,354,169968,84,0
738741,831,337313,120,0
762894,797,166981,60,1
985440,314,284386,36,0
447718,617,358623,12,0
641097,511,465659,12,0
452617,378,472955,36,0
438311,612,218553,12,0
330355,363,270894,36,0
986976,318,236994,60,0
604462,593,100601,84,0
1004107,385,243021,36,0
927438,338,396130,36,0
694070,440,494717,24,0
606063,679,439878,60,0
913333,501,251659,36,0
385999,693,235165,84,0
472502,550,187069,60,0
1035716,569,138204,60,0
1018040,851,133369,84,1
418015,857,81822,84,1
611955,717,279189,36,1
665838,483,204268,36,0
303267,446,329297,36,0
550875,450,445755,60,0
915270,718,330887,84,0
1161882,431,233321,120,0
954811,548,153409,12,0
322671,874,457700,84,0
858986,735,322900,12,0
918467,481,86035,60,0
817313,869,492882,84,0
922794,719,453322,120,0
1156748,797,78141,84,1
761243,346,81174,84,0
1005086,380,458638,120,0
317640,658,159079,36,0
986337,515,191214,24,0
732315,802,470182,60,0
901661,300,497907,60,0
390272,768,246049,60,1
673632,338,340524,120,0
751269,710,329158,120,0
895468,345,134080,120,0
766152,634,148605,36,0
669599,825,70609,84,1
1064469,824,408690,60,0
429312,740,490097,120,0
830089,500,498893,120,0
345714,500,492111,60,0
924785,594,187469,36,0
938836,715,195128,12,1
359163,336,367677,24,0
1087494,306,94638,36,0
371295,768,92828,120,1
880466,703,396189,84,0
574329,736,192635,24,1
471836,580,154211,36,0
1167055,416,185327,60,0
755968,525,57099,24,0
653531,894,81348,60,1
1176020,467,280156,60,0
912956,414,223672,12,0
731839,759,460841,120,0
801708,310,157539,84,0
748345,505,76832,12,0
1144573,861,170312,36,1
1050020,851,180513,36,1
343585,595,126153,24,0
767281,742,131889,84,1
827035,346,460303,24,0
910269,514,118619,60,0
981669,595,254451,60,0
1187474,469,437061,120,0
535365,803,200787,36,1
829036,416,139464,120,0
649457,773,408796,36,0
536584,649,208059,60,0
673616,443,385126,12,0
759773,836,189999,120,1
496769,408,389720,12,0
617428,651,459400,24,0
1137646,649,239420,36,0
700573,557,457507,120,0
1090141,883,217823,120,1
962301,605,457505,60,0
439407,823,239784,36,1
531915,383,154555,84,0
1107789,387,442136,120,0
653824,840,79956,84,1
851951,789,197603,84,1
776467,794,301351,12,0
992440,608,285821,12,0
655754,820,438447,60,0
1029903,658,236321,84,0
665871,317,360375,36,0
571967,353,78082,120,0
948249,694,412226,120,0
1130857,721,437344,60,0
988519,417,295900,84,0
527897,765,149071,12,1
477247,469,440707,60,0
1192323,856,241775,60,1
548683,835,490917,84,0
646809,823,317613,60,0
535167,761,160944,36,1
621638,311,459108,60,0
437337,352,296958,12,0
350015,887,62149,120,1
637497,867,398349,120,0
835017,368,461484,84,0
801157,742,168413,84,1
791234,560,136365,36,0
655249,686,465872,24,0
672370,558,479440,36,0
1165184,848,292634,84,1
1155474,302,154576,24,0
447443,776,393581,84,0
847707,675,205683,60,0
497775,680,205930,84,0
627359,575,67073,60,0
652228,509,350611,120,0
581342,300,146044,24,0
1021772,634,113037,12,0
488751,361,144439,84,0
829525,713,275019,12,1
1103591,784,284182,84,1
808153,583,190629,24,0
1150937,472,107716,60,0
365725,538,268200,24,0
615139,324,129973,24,0
846237,309,188782,12,0
583821,739,210878,84,1
733374,525,299031,36,0
311023,383,92092,24,0
464899,709,190507,60,1
1190617,874,490900,36,0
449503,372,86059,24,0
948307,586,298289,12,0
491232,346,435431,36,0
950429,784,485684,24,0
1003714,538,317926,60,0
901863,471,147359,60,0
1032180,368,436542,36,0
698929,323,211326,12,0
1094824,417,223724,84,0
327712,717,143808,24,1
1081239,433,344054,36,0
382074,705,429551,84,0
891460,553,436601,84,0
1043583,388,251139,120,0
681050,300,118008,12,0
1124792,878,174481,12,1
1003550,621,189978,12,0
875278,681,457688,12,0
1186089,758,493031,120,0
477789,426,220604,120,0
938353,308,348871,36,0
501664,309,307368,12,0
1125816,659,400877,12,0
364820,819,262112,60,1
1111774,866,438070,36,0
1020777,517,373064,36,0
1067836,717,342826,60,0
1007611,625,273725,120,0
492506,801,68752,84,1
559747,405,169119,120,0
763556,663,238490,36,0
918362,604,123997,12,0
486141,522,170029,120,0
937717,538,429504,60,0
937147,695,159847,36,0
526507,360,303211,24,0
409751,481,284565,120,0
1124273,736,492361,84,0
1064121,739,274033,60,1
873695,815,166859,60,1
360692,644,145457,36,0
1170045,572,110428,120,0
855839,636,469139,36,0
998376,412,263277,84,0
468964,811,96850,60,1
737477,838,106447,24,1
927083,773,406124,36,0
514020,618,122588,24,0
491962,628,284706,60,0
1137437,456,208285,84,0
352921,638,369153,24,0
365726,467,295127,12,0
394476,701,156297,24,1
523165,410,72612,24,0
373523,522,204249,12,0
431932,437,173008,84,0
736341,503,477958,60,0
960890,553,99104,60,0
777095,455,145673,12,0
725523,541,158255,120,0
359101,863,468647,120,0
687261,747,401064,36,0
573237,526,233260,60,0
892673,629,485207,120,0
999438,731,140353,120,1
859042,481,175541,84,0
434508,805,123861,120,1
476089,588,110545,84,0
965022,571,498532,60,0
668452,608,122240,36,0
755808,847,351454,120,0
747556,592,270169,36,0
805950,812,255675,60,1
491335,410,138009,12,0
833636,729,117260,60,1
1183184,677,494328,120,0
863044,306,139489,24,0
367215,876,402680,84,0
393264,322,176888,12,0
798863,806,409177,84,0
377505,587,498330,36,0
760857,609,130073,24,0
660260,792,203686,24,1
559178,700,155823,24,0
825830,681,413748,120,0
1042129,685,196451,120,0
1065313,582,377252,12,0
725695,888,227876,36,1
405570,633,334580,12,0
458338,895,229785,60,1
841252,739,245113,84,1
503861,441,492939,24,0
478031,766,493624,12,0
988105,670,422863,36,0
917075,719,177556,84,1
1007689,635,463860,120,0
1040427,639,53191,60,0
998168,319,301435,84,0
628947,872,483098,24,0
301252,497,183715,24,0
418834,891,324555,36,0
1132972,777,262978,84,1
623673,311,107775,36,0
1077089,662,141736,84,0
943409,377,396560,84,0
1184574,680,295317,12,0
861419,855,493273,120,0
879036,781,300497,36,0
780671,596,457426,12,0
828787,461,308503,84,0
384896,362,225915,60,0
551451,315,126373,84,0
450810,457,128222,60,0
499041,360,223895,84,0
1091743,350,480424,84,0
745101,595,258524,36,0
302869,419,439954,120,0
1181691,442,282601,24,0
393848,515,299062,84,0
502283,532,337681,60,0
754605,623,187244,36,0
328251,430,150689,84,0
418451,456,107993,12,0
406081,436,376459,24,0
400235,315,308230,120,0
751015,573,497557,36,0
675713,831,194539,84,1
1110006,429,499830,12,0
1040674,875,489875,36,0
309540,398,151015,84,0
715916,301,242699,36,0
685777,413,272146,36,0
1190123,339,490457,84,0
699111,892,90461,36,1
1110717,810,476188,60,0
847577,805,113530,24,1
511810,776,284213,36,1
879304,849,76160,24,1
780761,341,242660,120,0
948663,305,178803,60,0
760337,385,212396,12,0
588249,497,499042,12,0
605628,408,254894,12,0
528576,821,118388,36,1
697827,872,395732,24,0
439182,312,426158,60,0
949150,311,249900,24,0
364044,825,125388,12,1
918992,302,165053,60,0
1179090,892,495377,36,0
965987,327,411448,36,0
754589,777,246553,12,1
429981,355,161279,120,0
930152,766,253218,24,1
657429,837,149853,36,1
589336,759,229761,120,1
1090180,897,389375,12,0
1177699,890,206570,36,1
591999,493,222395,84,0
484064,620,472950,24,0
693002,543,352066,60,0
599648,447,75592,12,0
1014635,566,209210,12,0
465838,417,142578,24,0
851638,600,232051,24,0
748982,343,104823,12,0
959347,446,115450,84,0
706716,776,342764,60,0
950308,321,73387,120,0
1034994,397,66052,60,0
387498,504,490630,60,0
451836,627,198702,84,0
1121052,524,83848,120,0
1005703,602,91321,36,0
1060463,671,336166,84,0
789492,602,316258,60,0
558795,532,293341,12,0
431484,870,119519,24,1
370313,567,408918,36,0
650605,837,53754,36,1
1029650,663,233362,24,0
600804,691,187084,120,0
1089852,452,216370,12,0
843176,432,76806,120,0
1027627,570,394086,120,0
845977,758,107804,60,1
422096,812,371333,60,0
838685,625,87643,84,0
370640,850,155432,12,1
937144,532,127794,60,0
689957,870,338859,60,0
964795,643,167322,60,0
934736,664,388416,60,0
1187225,816,319932,24,0
324300,619,333780,60,0
535362,800,432007,12,0
361476,823,389115,36,0
326790,857,69033,84,1
1199684,471,280662,12,0
602918,842,376250,36,0
1165291,306,390373,24,0
583876,442,98868,12,0
1179989,527,90390,120,0
366203,321,63428,84,0
624767,873,275160,60,1
1156703,813,111929,24,1
374460,815,306695,12,0
766960,303,376453,120,0
553618,758,432035,120,0
374740,792,341444,60,0
568093,815,453850,12,0
465421,506,361955,12,0
405878,590,261830,12,0
319870,686,481116,84,0
341090,394,498625,24,0
666326,444,488073,84,0
1042139,881,385914,60,0
416381,525,241703,12,0
1003286,592,294809,84,0
991095,856,226072,12,1
928776,599,405891,36,0
660032,508,499370,84,0
595451,542,305158,24,0
450159,410,118926,120,0
306949,515,80682,120,0
735564,838,118056,36,1
386188,800,90372,24,1
520884,817,185832,60,1
414352,834,120119,36,1
